FUNDOS,TIPO,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,DIVIDEND YIELD,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (12M) MÉDIA,VARIAÇÃO PREÇO,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
CORM11,TIJOLO,N/A,N/A,N/A,"0,90 %","11,38 %","0,92 %","0,95 %","-2,97 %",N/A,"90,56",N/A,"0,89 %","-2,33 %",0,N/A,0,N/A,N/A,N/A
CPFO11,TIJOLO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"90.509.108,49",N/A,N/A,N/A,N/A,0,N/A,528,N/A,N/A,N/A
CPTI11,DESENVOLVIMENTO,"99,42","1.349.997,15",N/A,"1,18 %","12,58 %","1,23 %","1,05 %","-1,88 %",N/A,N/A,N/A,N/A,N/A,0,"9,92",0,N/A,N/A,N/A
CSMC11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","555.033.107,14",N/A,N/A,N/A,N/A,5,N/A,1,N/A,N/A,N/A
CVPR11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","13.775.398,34",N/A,N/A,N/A,N/A,0,N/A,2,N/A,N/A,N/A
DCRA11,MISTO,"9,28","213.666,79",N/A,"1,29 %","15,57 %","1,28 %","1,30 %","0,00 %",N/A,N/A,N/A,N/A,N/A,0,"11,50",0,N/A,N/A,N/A
DLMT11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8.514.217,56",N/A,N/A,N/A,N/A,5,N/A,9,N/A,N/A,N/A
ENDD11,N/A,"99,90","330.998,27",N/A,"2,55 %","14,49 %","1,82 %","2,90 %","18,53 %",N/A,N/A,N/A,N/A,N/A,0,"18,35",0,N/A,N/A,N/A
EQIA11,TIJOLO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A
ESUD11,N/A,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A
ESUT11,N/A,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
ESUU11,N/A,"1.199,98",N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A
FRHY11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4.624.735,39",N/A,N/A,N/A,N/A,0,N/A,7,N/A,N/A,N/A
HCRA11,TIJOLO,"103,10","10.509,07",N/A,"1,12 %","8,53 %","1,23 %","0,71 %","0,58 %",N/A,N/A,N/A,N/A,N/A,0,"14,49",0,N/A,N/A,N/A
HGRS11,TIJOLO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"60.930.580,00","92,86",N/A,"0,00 %","0,00 %",2,N/A,6,N/A,N/A,N/A
HILG11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","95.234.604,41",N/A,N/A,N/A,N/A,0,N/A,50,N/A,N/A,N/A
IFRA11,DESENVOLVIMENTO,"103,79","1.213.618,24",N/A,"1,03 %","11,88 %","1,03 %","0,99 %","-0,72 %",N/A,N/A,N/A,N/A,N/A,0,"11,64",0,N/A,N/A,N/A
JURO11,DESENVOLVIMENTO,"106,04","1.920.377,52",N/A,"1,40 %","13,05 %","1,47 %","1,09 %","-1,82 %",N/A,N/A,N/A,N/A,N/A,0,"10,63",0,N/A,N/A,N/A
KDIF11,DESENVOLVIMENTO,"135,88","2.529.116,30",N/A,"0,75 %","10,75 %","0,75 %","0,90 %","-2,33 %",N/A,N/A,N/A,N/A,N/A,0,"13,09",0,N/A,N/A,N/A
KNOX11,TIJOLO,"100,50","398.751,63",N/A,"2,35 %","14,03 %","2,11 %","2,34 %","1,27 %",N/A,N/A,N/A,N/A,N/A,0,"16,09",0,N/A,N/A,N/A
KNPR11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","60.067.088,32",N/A,N/A,N/A,N/A,0,N/A,593,N/A,N/A,N/A
KNUQ11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","505.110.806,24",N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
LAVF11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","116.243,80",N/A,N/A,N/A,N/A,0,N/A,7,N/A,N/A,N/A
LPLP11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","163.892.580,21",N/A,N/A,N/A,N/A,0,N/A,5,N/A,N/A,N/A
LSAG11,MISTO,"104,96","68.601,00",N/A,"1,43 %","16,73 %","1,21 %","1,39 %","-1,41 %",N/A,N/A,N/A,N/A,N/A,0,"21,09",0,N/A,N/A,N/A
MBRF11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"1.136,01",N/A,"0,88 %","-0,17 %",0,N/A,0,N/A,N/A,N/A
